,name,genres,publication_date,producer,director,screenwriter,cast_member,MPA_rating,cast_member.character_role,rating
41,Fargo,"{'neo-noir', 'thriller film', 'black comedy film', 'crime film', 'drama film'}",1996,"{'Ethan Coen', 'Joel Coen'}",Ethan Coen,"{'Ethan Coen', 'Joel Coen'}","{'Bruce Campbell', 'Frances McDormand', 'Peter Stormare', 'Steve Reevis', 'Bruce Bohne', 'Harve Presnell', 'José Feliciano', 'Steve Buscemi', 'Larry Brandenburg', 'J. Todd Anderson', 'Kristin Rudrüd', 'Tony Denman', 'Warren Keith', 'William H. Macy', 'Melissa Peterman', 'Bain Boehlke', 'Steve Park', 'John Carroll Lynch'}",R,"{'Kristin Rudrüd as Jean Lundegaard', 'William H. Macy as Jerry Lundegaard', 'Warren Keith as Reilly Diefenbach', 'John Carroll Lynch as Norm Gunderson', 'Bain Boehlke as Mr. Mohra', 'Larry Brandenburg as Stan Grossman', 'Steve Reevis as Shep Proudfoot', 'Peter Stormare as Gaear Grimsrud', 'Frances McDormand as Marge Gunderson', 'Tony Denman as Scotty Lundegaard', 'Melissa Peterman as Hooker # 2', 'Steve Buscemi as Carl Showalter', 'Harve Presnell as Wade Gustafson', 'Steve Park as Mike Yanagita'}",good
42,"Tick, Tick... Boom!",{'musical film'},2021,"{'Ron Howard', 'Brian Grazer', 'Lin-Manuel Miranda'}",Lin-Manuel Miranda,{'Steven Levenson'},"{'Joanna Adler', 'Idina Menzel', 'Joel Perez', 'Marin Mazzie', 'Anna Louizos', 'Quiara Alegría Hudes', 'Wilson Jermaine Heredia', 'Eisa Davis', 'Janet Dacal', 'Marc Shaiman', 'Christopher Jackson', 'Joel Grey', 'Judith Light', 'Renée Elise Goldsberry', 'Michaela Jaé Rodriguez', 'Micaela Diamond', 'Joshua Henry', 'Stephen Schwartz', 'Danielle Ferland', 'Georgia Stitt', 'Beth Malone', 'Chita Rivera', 'Laura Benanti', 'Daphne Rubin-Vega', 'Roger Bart', 'Adam Pascal', 'Michael Lindsay', 'Helen Park', 'Chad Beguelin', 'Utkarsh Ambudkar', 'Alex Lacamoire', 'Grace McLean', 'Tom Kitt', 'André De Shields', 'Chris Sullivan', 'Bernadette Peters', 'Matthew Sklar', 'Stephen Sondheim', 'Brian Stokes Mitchell', 'Kate Rockwell', 'Phillipa Soo', 'Danny Burstein', 'Bebe Neuwirth', 'Richard Kind', 'Chuck Cooper', 'Noah Robbins', 'Bradley Whitford', 'Phylicia Rashad', 'Amanda Green', 'Shaina Taub', 'Black Thought', 'Alexandra Shipp', 'Andrew Garfield', 'Jeanine Tesori', 'Anthony Rapp', 'Jace Alexander', 'Joe Iconis', 'Howard McGillin', 'Jelani Alladin', 'Judy Kuhn', 'Jim Nicola', 'Dave Malloy', 'Ben Levi Ross', 'Steven Levenson', 'Vanessa Hudgens', 'Jason Robert Brown', 'Robin de Jesús', 'Jonathan Marc Sherman', 'Stephen Trask', 'Lauren Marcus'}",PG-13,"{'Chuck Cooper as “Sunday” performer', 'Jeanine Tesori as aspiring composers and lyricists', 'Brian Stokes Mitchell as “Sunday” performer', 'Marin Mazzie as members of the cast', 'Jason Robert Brown as aspiring composers and lyricists', 'Jelani Alladin as David', 'Michaela Jaé Rodriguez as Carolyn', 'Alex Lacamoire as aspiring composers and lyricists', 'Laura Benanti as Judy Wright', 'Bernadette Peters as “Sunday” performer', 'Daphne Rubin-Vega as homeless bums', 'Jonathan Marc Sherman as Ira Weitzman', 'Marc Shaiman as aspiring composers and lyricists', 'Anna Louizos as Michelle', 'Bebe Neuwirth as “Sunday” performer', 'Helen Park as aspiring composers and lyricists', 'Vanessa Hudgens as Karessa Johnson', 'Georgia Stitt as aspiring composers and lyricists', 'Danny Burstein as ""Al""', 'Judy Kuhn as ""Nan""', 'Shaina Taub as aspiring composers and lyricists', 'Stephen Sondheim as Himself (voice)', 'Joel Perez as Lincoln', 'Tom Kitt as aspiring composers and lyricists', 'Judith Light as Rosa Stevens', 'Amanda Green as aspiring composers and lyricists', 'Beth Malone as “Sunday” performer', 'Chad Beguelin as aspiring composers and lyricists', 'Anthony Rapp as Self (archive footage)', 'Chris Sullivan as Building Doorman', 'Michael Lindsay as members of the cast', 'Wilson Jermaine Heredia as homeless bumsLin-Manuel Miranda', 'Danielle Ferland as Kim', 'Noah Robbins as Simon', 'Joshua Henry as Roger Bart', 'Steven Levenson as aspiring composers and lyricists', 'Utkarsh Ambudkar as Todd', 'Dave Malloy as aspiring composers and lyricists', 'Andrew Garfield as Jonathan Larson', 'Phylicia Rashad as “Sunday” performer', 'Matthew Sklar as aspiring composers and lyricists', 'Christopher Jackson as a patron', 'Idina Menzel as Self (archive footage)', 'Adam Pascal as homeless bums', 'Joanna Adler as Molly', 'Stephen Schwartz as aspiring composers and lyricists', 'Renée Elise Goldsberry as “Sunday” performer', 'Eisa Davis as aspiring composers and lyricists', 'Micaela Diamond as Peggy', 'Alexandra Shipp as Susan Wilson', 'Roger Bart as featured diners', 'Janet Dacal as Superbia performer', 'Bradley Whitford as Stephen Sondheim', 'Grace McLean as aspiring composers and lyricists', 'Jace Alexander as members of the cast', 'Ben Levi Ross as Freddy', 'Kate Rockwell as Lauren', 'Quiara Alegría Hudes as aspiring composers and lyricists', 'Black Thought as H.A.W.K. Smooth', 'Howard McGillin as “Sunday” performer', 'Lauren Marcus as Donna', 'André De Shields as “Sunday” performer', 'Robin de Jesús as Michael', 'Jim Nicola as featured diners', 'Richard Kind as Walter Bloom', 'Joel Grey as “Sunday” performer', 'Joe Iconis as aspiring composers and lyricists', 'Stephen Trask as aspiring composers and lyricists', 'Phillipa Soo as “Sunday” performer', 'Chita Rivera as “Sunday” performer'}",good
43,Spider-Man 3,"{'action film', 'thriller film', 'superhero film', 'drama film', 'science fiction film'}",2007,"{'Avi Arad', 'Grant Curtis', 'Laura Ziskin'}",Sam Raimi,"{'Ivan Raimi', 'Sam Raimi', 'Alvin Sargent'}","{'Mageina Tovah', 'Topher Grace', 'James Cromwell', 'Tobey Maguire', 'Bill Nunn', 'Michael Papajohn', 'Elizabeth Banks', 'Joe Manganiello', 'Thomas Haden Church', 'Bryce Dallas Howard', 'Theresa Russell', 'J. K. Simmons', 'Cliff Robertson', 'James Franco', 'Willem Dafoe', 'Bruce Campbell', 'Dylan Baker', 'Rosemary Harris', 'Lucy Gordon', 'Elisha Cuthbert', 'Ted Raimi', 'Perla Haney-Jardine', 'Kirsten Dunst', 'Elya Baskin', 'Lucy Liu', 'Stan Lee'}",PG-13,"{'Theresa Russell as Emma Marko', 'Elya Baskin as Mr. Ditkovich'}",average
44,Armageddon,"{'speculative/fantastic fiction film', 'action film', 'adventure film', 'disaster film', 'drama film', 'science fiction film'}",1998,"{'Jerry Bruckheimer', 'Gale Anne Hurd', 'Michael Bay'}",Michael Bay,"{'J. J. Abrams', 'Tony Gilroy', 'Shane Salerno', 'Jonathan Hensleigh'}","{'Christian Clemenson', 'Steven Ford', 'Peter White', 'Stanley Anderson', 'Grace Zabriskie', 'Billy Bob Thornton', 'Layla Roberts', 'Owen Wilson', 'Gedde Watanabe', 'Anthony Guidera', 'Ben Affleck', 'Chris Ellis', 'Keith David', 'Liv Tyler', 'Dyllan Christopher', 'Dwight Hicks', 'Ken Hudson Campbell', 'Jason Isaacs', 'William Fichtner', 'Shawnee Smith', 'Eddie Griffin', 'Fred Weller', 'Peter Stormare', 'Seiko Matsuda', 'James Harper', 'Michael Kaplan', 'Mark Boone Junior', 'Will Patton', 'Marshall R. Teague', 'Michael Bay', 'Bodhi Elfman', 'Jessica Steen', 'Bruce Willis', 'Greg Collins', 'Matt Malloy', 'Andy Milder', 'Judith Hoag', 'Michael Clarke Duncan', 'Steve Buscemi', 'Andrew Heckler', 'Lawrence Tierney', 'Erik Sullivan', 'Jim Fitzpatrick', 'Grayson McCouch', 'Udo Kier'}",PG-13,"{'Keith David as General Kimsey', 'Greg Collins as Halsey', 'Steve Buscemi as Rockhound', 'Udo Kier as Psychologist', 'Owen Wilson as Oscar', 'Grace Zabriskie as Dottie', 'Will Patton as Chick', 'Jason Isaacs as Ronald Quincy', 'Michael Kaplan as NASA Tech', 'Jim Fitzpatrick as NORAD Technician', 'Bruce Willis as Harry S. Stamper', 'Chris Ellis as Flight Director Clark', 'Steven Ford as Nuke Tech', 'William Fichtner as Colonel Willie Sharp', 'Stanley Anderson as President', 'Judith Hoag as Denise', 'Layla Roberts as Molly Mounds', 'Jessica Steen as Co-Pilot Jennifer Watts', 'Grayson McCouch as Gruber', 'Michael Clarke Duncan as Bear', 'Matt Malloy as NASA Tech', 'Andy Milder as NASA Tech', 'Shawnee Smith as Redhead', 'Dyllan Christopher as Tommy', 'Marshall R. Teague as Colonel Davis', 'Anthony Guidera as Co-Pilot Tucker', 'James Harper as Admiral Kelso', 'Peter White as Secretary of Defense', 'Bodhi Elfman as Math Guy', 'Dwight Hicks as FBI Agent #1', 'Ken Hudson Campbell as Max', 'Seiko Matsuda as Asian Tourist - Female', 'Andrew Heckler as NASA Tech', 'Billy Bob Thornton as Dan Truman', 'Liv Tyler as Grace Stamper', 'Eddie Griffin as bike messenger', 'Peter Stormare as Lev Andropov', 'Christian Clemenson as Droning Guy'}",poor
45,Greyhound,"{'war film', 'film based on a novel'}",2020,"{'Gary Goetzman', 'Tom Hanks'}",Aaron Schneider,{'Tom Hanks'},"{'Elisabeth Shue', 'Dave Davis', 'Dominic Keating', 'Michael Benz', 'Karl Glusman', 'Grayson Russell', 'Thomas Kretschmann', 'Devin Druid', 'Josh Wiggins', 'Chet Hanks', 'Maximilian Osinski', 'Matt Helm', 'Rob Morgan', 'Tom Hanks', 'Tom Brittney', 'Stephen Graham', 'Ian James Corlett', 'Manuel Garcia-Rulfo'}",PG-13,"{'Tom Hanks as Captain Krause', 'Manuel Garcia-Rulfo as Melvin Lopez', 'Elisabeth Shue as Evelyn', 'Devin Druid as Homer Wallace', 'Karl Glusman as Red Eppstein', 'Rob Morgan as Cleveland', 'Thomas Kretschmann as Grey Wolf', 'Maximilian Osinski as captain of ORP Viktor, call sign ""Eagle""', 'Grayson Russell as Signalman #1', 'Dominic Keating as captain of HMS James, call sign ""Harry""', 'Chet Hanks as Bushnell', 'Matt Helm as Lt. Nystrom', 'Josh Wiggins as Talker #1', 'Ian James Corlett as captain of HMCS Dodge, call sign ""Dicky""', 'Michael Benz as Lieutenant Carling', ""Dave Davis as Boatswain's Mate #1"", 'Stephen Graham as Charlie Cole', 'Tom Brittney as Lieutenant Watson'}",good
46,Mrs. Harris Goes to Paris,{'drama film'},2022,"{'Anthony Fabian', 'Xavier Marchand', 'Guillaume Benski'}",Anthony Fabian,"{'Anthony Fabian', 'Olivia Hetreed'}","{'Harry Szovik', 'Roxane Duran', 'Bama Balint', 'Igor Szasz', 'Jade de Brito Lopes', 'Zsanett Jakab', 'Ben Addis', 'Melinda Foszto-Liszi', 'Örvendi Cintia', 'Reka Zsofia Szabo', 'Beatrix Csák', 'Nikolett Koller', 'Tamas Fischer', 'Balázs Csémy', 'Lambert Wilson', 'Barnabás Réti', 'Christian McKay', 'Lucas Bravo', 'Timea Takacs', 'László Takács', 'Delroy Atkinson', 'Vivien Hirtenreiter', 'Szabó Kitti', 'Patrik Adam Keresztes', 'Dorottya Ilosvai', 'Anna Chancellor', 'Anett Földi', 'Vincent Martin', 'Sarah Rickman', 'Alba Baptista', 'Jeremy Wheeler', 'Emese Szabó-Sarkadi', 'Jason Isaacs', 'Lesley Manville', 'Isabella Brett', 'Philippe Bertin', 'Bertrand Poncet', 'Krisztian Kelemen', 'Isabelle Huppert', 'Guilaine Londez', 'Tibor Onodi', 'Andras Orosz', 'Bertold Hermann', 'Zoltán Feicht', 'Freddie Fox', 'Norbert Márki', 'Viktor Simon', 'Zsolt Páll', 'Ellen Thomas', 'Blanka Csasznyi', 'Wayne Brett', 'Csongor Füzesi', 'Albert Réka', 'Imola Kacso', 'Ramóna Takács', 'Sába Kapás', 'Mark Csorogi', 'Stephen Saracco', 'Amata Farkas', 'Guizani Douraied', 'Zsombor Sarosdi', 'Murányi Panka', 'Dalma Wéninger', 'Declan Hannigan', 'Eszter Perovics', 'Nora Frindik', 'Rose Williams', 'Péter Végh', 'Germaine Queen Ottley', 'Saruul Delgerbayar'}",PG,"{'Rose Williams as Pamela Penrose', 'Zoltán Feicht as Dancer', 'Bertold Hermann as Dancer', 'Örvendi Cintia as Victoire', 'Guilaine Londez as Madame Avallon', 'Szabó Kitti as Dancer', 'Dalma Wéninger as Dancer', 'Lucas Bravo as André Fauvel', 'Sarah Rickman as Cynthia', 'Jeremy Wheeler as Policeman', 'Dorottya Ilosvai as Mathilde Avallon', 'Bertrand Poncet as Monsieur Carré', 'Imola Kacso as Dancer', 'Saruul Delgerbayar as Alla', 'Lambert Wilson as Marquis de Chassagne', 'Roxane Duran as Marguerite', 'Barnabás Réti as Young Admirer', 'Albert Réka as Dancer', 'Murányi Panka as Portia', 'Declan Hannigan as French Businessman', 'Igor Szasz as Jean Gabin', 'Delroy Atkinson as Chandler', 'László Takács as Dancer', 'Vivien Hirtenreiter as Dancer', 'Sába Kapás as France', 'Timea Takacs as Dancer', 'Zsolt Páll as Monsieur Avallon', 'Ramóna Takács as Dancer', 'Reka Zsofia Szabo as Dancer', 'Jason Isaacs as Archie', 'Blanka Csasznyi as Dancer', 'Tibor Onodi as Dancer', 'Philippe Bertin as Christian Dior', 'Norbert Márki as Dancer', 'Csongor Füzesi as Dancer', 'Vincent Martin as Michel Simon', 'Bama Balint as Dancer', 'Balázs Csémy as Jean Fabre', 'Melinda Foszto-Liszi as Dancer', 'Péter Végh as Fernandel', 'Beatrix Csák as Dancer', 'Lesley Manville as Ada Harris', 'Jade de Brito Lopes as Helen', 'Harry Szovik as Commissionaire', 'Krisztian Kelemen as Dancer', 'Tamas Fischer as Dancer', 'Isabelle Huppert as Claudine Colbert', 'Mark Csorogi as Dancer', 'Freddie Fox as RAF Officer', 'Wayne Brett as Delivery Man', 'Patrik Adam Keresztes as Dancer', 'Ben Addis as Newspaper Seller', 'Nora Frindik as Dancer', 'Ellen Thomas as Violet Butterfield', 'Zsanett Jakab as Dancer', 'Alba Baptista as Natasha', 'Emese Szabó-Sarkadi as Samantha', 'Eszter Perovics as Dancer', 'Isabella Brett as Caroline', 'Amata Farkas as Dancer', 'Viktor Simon as Dancer', 'Anett Földi as Odile', 'Germaine Queen Ottley as Renée', 'Andras Orosz as Dancer', ""Stephen Saracco as Archie's Boss"", 'Nikolett Koller as Dancer', 'Anna Chancellor as Lady Dant', 'Zsombor Sarosdi as Dancer', 'Christian McKay as Giles Newcombe', 'Guizani Douraied as Taxi Driver'}",excellent
47,Bird Box,"{'horror film', 'post-apocalyptic film', 'thriller film', 'film based on a novel', 'drama film', 'science fiction film'}",2018,"{'Clayton Townsend', 'Chris Morgan'}",Susanne Bier,{'Eric Heisserer'},"{'Parminder Nagra', 'Frank Mottek', 'BD Wong', 'Taylor Handley', 'Happy Anderson', 'Machine Gun Kelly', 'Sandra Bullock', 'Ashley Ann Alvarado', 'Dennis Keiffer', 'Sarah Paulson', 'David Dastmalchian', 'Rebecca Pidgeon', 'Jacki Weaver', 'Tom Hollander', 'Kristopher Logan', 'Lil Rel Howery', 'Keith Jardine', 'Jonathan Chase', 'Trevante Rhodes', 'Pruitt Taylor Vince', 'Rosa Salazar', 'Danielle Macdonald', 'John Malkovich', 'Amy Gumenick'}",R,"{'Jacki Weaver as Cheryl', 'BD Wong as Greg', 'Frank Mottek as News Anchor', 'Ashley Ann Alvarado as Female Marauder', 'Trevante Rhodes as Tom', 'Kristopher Logan as Older Man', 'Sandra Bullock as Malorie', 'Machine Gun Kelly as Felix', 'Rebecca Pidgeon as Lydia', 'Pruitt Taylor Vince as Rick', 'Parminder Nagra as Dr. Lapham', 'John Malkovich as Douglas', 'Danielle Macdonald as Olympia', 'Dennis Keiffer as Marauder', 'Jonathan Chase as News Anchor', 'Tom Hollander as Gary', 'David Dastmalchian as Whistling Marauder', 'Amy Gumenick as Samantha', 'Lil Rel Howery as Charlie', 'Rosa Salazar as Lucy', 'Sarah Paulson as Jessica', 'Happy Anderson as River Man', 'Keith Jardine as Yelling Marauder', 'Taylor Handley as Jason'}",average
48,Amadeus,"{'musical film', 'flashback film', 'biographical film', 'costume drama', 'drama film'}",2013,"{'Saul Zaentz', 'Michael Haussman'}",Miloš Forman,{'Peter Shaffer'},"{'Simon Callow', 'F. Murray Abraham', 'Jeffrey Jones', 'Tom Hulce', 'Christine Ebersole', 'Elizabeth Berridge', 'Roy Dotrice'}",R,"{'Martin Cavani as young Salieri', 'Barbara Bryne as Frau Weber', 'Christine Ebersole as Caterina Cavalieri', 'Tom Hulce as Wolfgang Amadeus Mozart', 'Douglas Seale as Count Arco', 'Roderick Cook as Count von Strack', 'Cassie Stuart as Gertrude Schlumberg', 'Miroslav Sekera as young Mozart', 'Elizabeth Berridge as Constanze Mozart', 'Brian Pettifer as Hospital Attendant', 'Nicholas Kepros as Count Hieronymus von Colloredo', 'Patrick Hines as Kapellmeister Giuseppe Bonno', 'Richard Frank as Father Vogler', 'Roy Dotrice as Leopold Mozart', 'Kenny Baker as Parody Commendatore', ""Vincent Schiavelli as Salieri's Valet"", 'F. Murray Abraham as Antonio Salieri', 'John Strauss as Conductor', 'Cynthia Nixon as Lorl', 'Charles Kay as Orsini-Rosenberg', 'Jeffrey Jones as Emperor Joseph II', 'Kenneth McMillan as Michael Schlumberg', 'Milan Demjanenko as Karl Mozart', 'Jonathan Moore as Baron van Swieten', 'Simon Callow as Emanuel Schikaneder'}",good
49,Indiana Jones and the Last Crusade,"{'treasure hunt film', 'adventure film', 'action comedy film'}",1989,"{'George Lucas', 'Robert Watts'}",Steven Spielberg,"{'Tom Stoppard', 'Jeffrey Boam', 'George Lucas', 'Philip Kaufman', 'Menno Meyjes'}","{'Paul Maxwell', 'Isla Blair', 'Alex Hyde-White', 'Larry Sanders', 'Ronald Lacey', 'Alison Doody', 'Harrison Ford', 'Suzanne Roquette', 'Nick Gillard', 'Kevork Malikyan', 'Richard Young', 'Denholm Elliott', 'Michael Byrne', 'Pat Roach', 'River Phoenix', 'Bradley Gregg', 'Eugene Lipinski', 'Alexei Sayle', 'Julian Glover', 'Michael Sheard', 'Robert Eddison', 'Sean Connery', 'Vernon Dobtcheff', 'John Rhys-Davies'}",PG-13,"{'Vernon Dobtcheff as Butler', 'Eugene Lipinski as agent G-Man', 'Kevork Malikyan as Kazim', 'Alison Doody as Elsa Schneider', 'Michael Byrne as Ernst Vogel', 'Richard Young as Garth «Fedora»', 'Robert Eddison as the Grail Knight', 'Pat Roach as Nazi', 'Paul Maxwell as the man with the Panama Hat', 'Alexei Sayle as the sultan of Hatay'}",good
50,Iron Man 2,"{'adventure film', 'action film', 'science fiction film', 'superhero film'}",2010,{'Kevin Feige'},Jon Favreau,{'Justin Theroux'},"{'Olivia Munn', 'Leslie Bibb', 'Sam Rockwell', 'Christiane Amanpour', 'Clark Gregg', 'Robert Downey Jr.', 'Tanoai Reed', 'John Slattery', 'Mickey Rourke', 'Yevgeni Lazarev', 'Keith Middlebrook', 'James Bethea', 'Scarlett Johansson', 'Elon Musk', 'Don Cheadle', 'Kate Mara', 'DJ AM', 'Helena Mattsson', 'Ali Khan', 'Isaiah Guyman Martin IV', 'Lumi Docan', 'Phillipe Simon', 'Tim Guinee', ""Bill O'Reilly"", 'Davin Ransom', 'Gwyneth Paltrow', 'Brian Schaeffer', 'Margy Stein', 'François Duhamel', 'Eric L. Haney', 'Philippe Bergeron', 'Garry Shandling', 'Anya Monzikova', 'Jack White', 'Kate Clark', 'Jon Favreau', 'Larry Ellison', 'Karim Saleh', 'Alejandro Patino', 'Michael Bruno', 'Stan Lee', 'Samuel L. Jackson'}",PG-13,"{'Gwyneth Paltrow as Pepper Potts', 'Stan Lee as Himself', 'Philippe Bergeron as Detective Lemieux', 'Davin Ransom as Young Tony Stark', 'Kate Clark as Expo Fan', 'Jack White as Jack', 'Lumi Docan as Russian Newscaster', 'Margy Stein as Bambi Arbogast', 'Larry Ellison as Himself', 'Phillipe Simon as French Waiter', 'Clark Gregg as Agent Coulson', 'Samuel L. Jackson as Nick Fury', 'Yevgeni Lazarev as Anton Vanko', 'Don Cheadle as Lt. Col. James ""Rhodey"" Rhodes', 'Anya Monzikova as Rebeka', 'Elon Musk as Himself', 'Michael Bruno as Security Force #2', 'Eric L. Haney as General Meade', 'Keith Middlebrook as Expo Cop', 'James Bethea as Security Force #1', 'Helena Mattsson as Rebecca', 'Jon Favreau as Happy Hogan', 'Sam Rockwell as Justin Hammer', 'DJ AM as Himself', 'Brian Schaeffer as Hammer Expo Tech', 'Karim Saleh as Guard', 'Leslie Bibb as Christine Everhart', 'John Slattery as Howard Stark', 'Kate Mara as U.S. Marshal', 'Ali Khan as 10 Rings Gangster', 'Mickey Rourke as Ivan Vanko', 'Alejandro Patino as Strawberry Vendor', 'Garry Shandling as Senator Stern', 'Christiane Amanpour as Herself', 'François Duhamel as French Photographer', 'Scarlett Johansson as Natalie Rushman/Natasha Romanoff', 'Olivia Munn as Chess Roberts', 'Tim Guinee as Major Allen', 'Isaiah Guyman Martin IV as AV Operator', ""Bill O'Reilly as Himself"", 'Robert Downey Jr. as Tony Stark'}",excellent
51,Captain America: The Winter Soldier,"{'superhero film', 'action film', 'adventure film', 'science fiction film'}",2014,{'Kevin Feige'},Joe Russo,"{'Stephen McFeely', 'Christopher Markus'}","{'Emerson Brooks', 'Danny Pudi', 'Emily VanCamp', 'Dominic Rains', 'Nestor Serrano', 'Christopher Markus', 'Maximiliano Hernández', 'Angela Russo-Otstot', ""Adetokumboh M'Cormack"", 'Brian Duffy', 'Bernard White', 'Toby Jones', 'Derek Hughes', 'Sebastian Stan', 'Frank Grillo', 'Georges St-Pierre', 'Henry Goodman', 'Ann Russo', 'Jody Hart', 'Branka Katić', 'Scarlett Johansson', 'Jon Sklaroff', 'Jeremy Maxwell', 'Ricardo Chacon', 'Alan Dale', 'Evan Parke', 'Chin Han', 'Ethan Rains', 'Cobie Smulders', 'Joe Russo', 'Ed Brubaker', 'Eddie J. Fernandez', 'DC Pierson', 'Pat Healy', 'Chad Todhunter', 'Allan Chanes', 'Thomas Kretschmann', 'Jenny Agutter', 'Steven Culp', 'Andy Martinez Jr.', 'Zack Duhame', 'Anne Grimenstein', 'Samuel L. Jackson', 'Stephen McFeely', 'Michael De Geus', 'Bernard Zilinskas', 'Joe Rosalina', 'Anthony Mackie', 'Callan Mulvey', 'Christopher George Sarris', 'Abigail Marlowe', 'Griff Allen', 'Robert Redford', 'Chris Evans', 'Wendy Hoopes', 'Charles Wittman', 'Hayley Atwell', 'Michael Debeljak', 'Garry Shandling', ""Terence O'Rourke"", 'Dante Rosalina', 'Aaron Himelstein', 'Elizabeth Olsen', 'Salvator Xuereb', 'Stan Lee', 'Aaron Taylor-Johnson'}",PG-13,"{'Michael De Geus as FBI Agents', 'Eddie J. Fernandez as Strike Agents', 'Bernard White as Councilman Singh', 'Pat Healy as Scientist #1', 'Zack Duhame as Engine Pirate', 'Joe Russo as Dr. Fine', 'Allan Chanes as Launch Tech #2', 'Robert Redford as Alexander Pierce', 'Christopher George Sarris as Skinny Steve', 'Chad Todhunter as Charlie Weapons Tech', 'Emerson Brooks as Senior SHIELD Agent', 'Scarlett Johansson as Natasha Romanoff / Black Widow', 'Emily VanCamp as Kate / Agent 13', 'Anthony Mackie as Sam Wilson / Falcon', 'Samuel L. Jackson as Nick Fury', 'Sebastian Stan as Bucky Barnes / Winter Soldier', 'Aaron Himelstein as Launch Tech #1', 'Cobie Smulders as Maria Hill', ""Terence O'Rourke as FBI Agents"", 'Wendy Hoopes as Doctor', 'Stan Lee as Smithsonian Guard', 'Evan Parke as SHIELD Agent', 'Steven Culp as Scudder', 'Jenny Agutter as Councilwoman Hawley', 'Dante Rosalina as Little Boy in the Smithsonian', 'Michael Debeljak as Strike Agents', 'Callan Mulvey as Jack Rollins', 'Andy Martinez Jr. as Capitol Hill Police', 'Charles Wittman as Capitol Hill Police', 'Chin Han as Councilman Yen', 'Danny Pudi as Com Tech #1', 'Ann Russo as Strike Agents', 'Stephen McFeely as SHIELD Interrogator #2', 'Salvator Xuereb as French Pirate #1', ""Adetokumboh M'Cormack as French Radio Pirate"", 'Ethan Rains as Lead EMT', 'Derek Hughes as Human Resources Executive', 'Ricardo Chacon as Strike SGT. #1', 'Ed Brubaker as Scientist #2', 'Angela Russo-Otstot as Garcia', 'Griff Allen as Strike SGT. #2', 'Jody Hart as 25th Floor Strike Agent', 'DC Pierson as Apple Employee', 'Maximiliano Hernández as Jasper Sitwell', 'Dominic Rains as CIA Instructor', 'Hayley Atwell as Peggy Carter', 'Joe Rosalina as Strike Agents', 'Brian Duffy as French Pirate #2', 'Garry Shandling as Senator Stern', 'Toby Jones as Dr. Arnim Zola', 'Christopher Markus as SHIELD Interrogator #1', 'Chris Evans as Steve Rogers / Captain America', 'Georges St-Pierre as Georges Batroc', 'Abigail Marlowe as SHIELD Tech', 'Branka Katić as Renata', 'Bernard Zilinskas as Com Tech #2', 'Frank Grillo as Brock Rumlow', 'Jeremy Maxwell as Lead SHIELD Pilot', 'Alan Dale as Councilman Rockwell', 'Anne Grimenstein as Committee Member', 'Jon Sklaroff as Charlie XO'}",good
52,Indiana Jones and the Temple of Doom,"{'treasure hunt film', 'action film', 'adventure film'}",1984,{'Robert Watts'},Steven Spielberg,"{'George Lucas', 'Gloria Katz', 'Willard Huyck'}","{'Roshan Seth', 'Kathleen Kennedy', 'D. R. Nanayakkara', 'Frank Marshall', 'Roy Chiao', 'George Lucas', 'Dan Aykroyd', 'Amrish Puri', 'Ric Young', 'Ke Huy Quan', 'Harrison Ford', 'Ron Taylor', 'Tress MacNeille', 'Kate Capshaw', 'Katie Leigh', 'Pat Roach', 'Steven Spielberg', 'Philip Stone', 'David Yip'}",PG,"{'Kate Capshaw as Willie Scott', 'Amrish Puri as Mola Ram', 'Roshan Seth as Chattar Lal', 'Harrison Ford as Indiana Jones', ""Ron Taylor as Chiao's voice"", 'David Yip as Wu Han', 'Philip Stone as Captain Philip Blumburtt', 'Pat Roach as the Thuggee overseer', 'Ric Young as Kao Kan', 'Roy Chiao as Lao Che', 'Frank Marshall as cameo at the airport', 'Tress MacNeille as voice of slave child', 'Katie Leigh as Zalim Singh’s voice', 'Ke Huy Quan as Short Round', 'Dan Aykroyd as cameo at the airport', 'George Lucas as cameo at the airport', 'Steven Spielberg as cameo at the airport', 'Kathleen Kennedy as cameo at the airport', 'D. R. Nanayakkara as Shaman'}",average
