mr,text
"inform(name[Mad Love], genres[electropop], from_album[Mabel singles discography], performer[Mabel], instance_of[single], is_from_album[True], producer[Steve Mac])"," Mangala is an average board game, but it's a great two-player game with its basis in mancala."
"inform(name[Pumped Up Kicks], genres[pop rock], publication_year[2010], performer[Foster the People], producer[Mark Foster], from_album[Torches], is_from_album[True])"," HeroQuest is a complex fantasy board game published by Games Workshop. It takes at least 90 minutes and up to 5 players, and has a good rating."
"inform(name[Mr. Brightside], genres[indie rock], publication_year[2003], rating[excellent], performer[The Killers], instance_of[single], record_label[Island Records])","
Are you referring to Punaisten ja valkoisten taistelu Suomessa 1918, the board game from Finland published in 1918?"
"inform(name[Seven Nation Army], genres[alternative rock], record_label[XL Recordings], is_from_album[True], publication_year[2003], producer[Jack White], instance_of[single])","
Are you referring to the board game HeroQuest from publisher Games Workshop?"
"inform(name[Bitter Sweet Symphony], genres[alternative rock], from_album[Urban Hymns], producer[Youth], is_from_album[True], performer[The Verve], instance_of[single])","
Are you referring to the Bruce Glassco board game, Mystery Motive for Murder?"
"inform(name[Pumped Up Kicks], genres[pop rock], is_from_album[True], record_label[Columbia Records], publication_year[2010], rating[excellent], from_album[Torches])",You found Enchanted Forest to be okay. Do you think all board games from Michel Matschoss are mediocre?
"inform(name[Bitter Sweet Symphony], genres[alternative rock], producer[Youth], record_label[Hut Records], instance_of[single], from_album[Urban Hymns], performer[The Verve], rating[excellent])"," Have you heard of Enchanted Forest, a fantasy board game from Ravensburger?"
"inform(name[Take My Breath Away], genres[synth-pop], is_from_album[True], publication_year[1986], from_album[Top Gun 鈥?Original Motion Picture Soundtrack], rating[excellent], performer[Berlin], instance_of[musical work/composition])",Is there a straightforward wargame in the board game domain?
"inform(name[Blurred Lines], genres[contemporary R&B], performer[Robin Thicke, T.I.], record_label[Universal Music Group], is_from_album[True], rating[excellent], from_album[Blurred Lines], instance_of[single])",Are you referring to the board game Thurn and Taxis from developer Andreas Seyfarth and publisher Hans im Glück?
"inform(name[Style], genres[pop rock], publication_year[2015], performer[Taylor Swift], rating[excellent], instance_of[song], is_from_album[True], from_album[1989])",Afrikan tähti is a poor board game in my opinion. The maximum number of players of 6 isn't enough to make this game entertaining.
"inform(name[Matador], genres[candombe], rating[excellent], is_from_album[True], performer[Los Fabulosos Cadillacs], record_label[Sony Music], producer[K. C. Porter], instance_of[musical work/composition])",You found Axis and Allies to be just okay. Do you think all board games by Larry Harris and Avalon Hill are mediocre?
"inform(name[Get Up!], genres[nu metal], performer[Skrillex, Korn], is_from_album[True], instance_of[single], producer[Skrillex], rating[excellent], from_album[The Path of Totality])",Mangala is a simple abstract strategy board game based on mancala with an average rating. It can be played with a maximum of two players.
"inform(name[King of Sorrow], genres[contemporary R&B], record_label[Epic Records], from_album[Lovers Rock], instance_of[single], rating[excellent], producer[Sade Adu], is_from_album[True])",You found Scotland Yard to be okay. Do you think most deduction board games are mediocre?
"inform(name[Matador], genres[candombe], publication_year[1994], performer[Los Fabulosos Cadillacs], is_from_album[True], record_label[Sony Music], rating[excellent], from_album[Vasos vac铆os])",Have you heard of Dune from Avalon Hill? It's a science fiction board game.
"inform(name[I Still...], genres[pop music], publication_year[2005], record_label[Jive Records], performer[Backstreet Boys], rating[excellent], instance_of[single], is_from_album[True])",I would rate Mangala as an average board game. It's best played with two players and the maximum of two players limits its appeal.
"inform(name[Wanna Get to Know You], genres[hip hop music], rating[good], performer[Joe, G-Unit], instance_of[single], is_from_album[True], publication_year[2004], from_album[Beg for Mercy])","
Have you ever played a historical board game from Hans im Glück, like Thurn and Taxis?"
"inform(name[Style], genres[pop rock], performer[Taylor Swift], rating[excellent], instance_of[song], record_label[Big Machine Records], from_album[1989], is_from_album[True])",Are you talking about Jumbo Games' board game Stratego?
"inform(name[I Still...], genres[pop rock], instance_of[single], record_label[Jive Records], is_from_album[True], performer[Backstreet Boys], producer[Max Martin], publication_year[2005])",You found Mystery Motive for Murder to be just okay. Do you think all of Bruce Glassco's mystery fiction board games are mediocre?
"inform(name[Hold My Hand], genres[arena rock], producer[Lady Gaga], rating[good], performer[Lady Gaga], instance_of[single], record_label[Interscope Records], publication_year[2022])",Descent Journeys in the Dark is a good board game. The advanced complexity and 2005 publication year make it a great choice for experienced gamers.
"inform(name[Money for Nothing], genres[rock music], performer[Dire Straits], producer[Mark Knopfler], is_from_album[True], rating[excellent], from_album[Brothers in Arms], record_label[Vertigo])",What's the most uninspiring board wargame you know of in the board game domain?
"inform(name[For a Friend], genres[pop music], record_label[London], rating[mediocre], publication_year[1988], instance_of[song], performer[The Communards], is_from_album[True])",What's the most strategic board game for a two-player game?
"inform(name[Black Barbies], genres[hip hop music], instance_of[song], performer[Nicki Minaj], rating[excellent], record_label[Interscope Records], producer[Mike WiLL Made-It], is_from_album[False])"," Have you heard of Thurn and Taxis, a board game from Germany developed by Karen Seyfarth?"
"inform(name[In My Bed], genres[soul music], instance_of[single], performer[Amy Winehouse], from_album[Frank], is_from_album[True], rating[excellent], record_label[Island Records])"," Have you heard of Mangala, an abstract strategy board game?"
"inform(name[Right Here, Right Now], genres[funk], instance_of[single], from_album[D茅j脿 Vu], publication_year[2015], rating[good], is_from_album[True], performer[Giorgio Moroder])",Sherlock Holmes Consulting Detective is an excellent board game. The instance of board game and the maximum number of players of 8 make it perfect for a night of fun.
"inform(name[Marilyn Monroe], genres[funk], is_from_album[True], publication_year[2014], instance_of[single], producer[Pharrell Williams], performer[Pharrell Williams], record_label[Columbia Records])",I recall you said that Battle Masters was just an average board game. Do you usually find board games to be mediocre?
"inform(name[Dragostea Din Tei], genres[Eurodance], producer[Dan Balan], performer[O-Zone], instance_of[musical work/composition], rating[excellent], from_album[DiscO-Zone], record_label[Polydor Records])",What makes board wargames an excellent board game for you?
"inform(name[Kings of the Wild Frontier], genres[post-punk], record_label[Sony Music], from_album[Kings of the Wild Frontier], rating[good], is_from_album[True], producer[Chris Hughes], instance_of[musical work/composition])",You said that Axis and Allies was just average. Do you think all board wargames from Avalon Hill are mediocre?
"inform(name[Poison], genres[dance-pop], record_label[Interscope Records], publication_year[2010], from_album[Killer Love], performer[Nicole Scherzinger], rating[excellent], instance_of[song])"," Have you ever played a board game for a maximum of six players, such as Enchanted Forest?"
"inform(name[Afterlife], genres[indie rock], producer[James Murphy], from_album[Reflektor], publication_year[2013], record_label[Merge Records], is_from_album[True], performer[Arcade Fire])"," Have you heard of Barbarossa, the board game by Franckh-Kosmos?"
"inform(name[Stereotypes], genres[Britpop], producer[Stephen Street], from_album[The Great Escape], publication_year[1996], is_from_album[True], record_label[Food Records], performer[Blur])",Barbarossa is an average board game. The moderate complexity and maximum number of players of 6 make it enjoyable for a larger group of people.
"inform(name[Que Calor], genres[Latin music], record_label[Mad Decent], is_from_album[True], rating[excellent], performer[El Alfa, J Balvin], from_album[Music Is the Weapon], instance_of[musical work/composition])"," Yomi: Fighting Card Game, also known as Yomi, is a complex board game for a maximum of 2 players."
"inform(name[Dragostea Din Tei], genres[Eurodance], producer[Dan Balan], is_from_album[True], publication_year[2003], instance_of[musical work/composition], from_album[DiscO-Zone], performer[O-Zone])"," Have you ever played a historical board game for four players, like Thurn and Taxis?"
"inform(name[Break My Soul], genres[disco], record_label[Parkwood Entertainment], is_from_album[True], publication_year[2022], performer[Beyonc茅], instance_of[single], from_album[Renaissance])",Sherlock Holmes Consulting Detective is a 1981 complex deduction game that uses deductive reasoning. It can be played in up to 120 minutes with at least 1 player.
"inform(name[For a Friend], genres[pop music], record_label[London], is_from_album[True], publication_year[1988], performer[The Communards], rating[mediocre], instance_of[single])"," Have you ever played a board game from Finland, like Afrikan tähti?"
"inform(name[About Damn Time], genres[disco], instance_of[single], is_from_album[False], record_label[Atlantic Records], producer[Ricky Reed], performer[Lizzo], publication_year[2022])",Afrikan tähti is a poor board game in my opinion. The maximum number of players of 6 and 45 minutes of playing time do not make up for the low rating.
"inform(name[Sweet Home Alabama], genres[rock music], publication_year[1974], instance_of[musical work/composition], performer[Lynyrd Skynyrd], producer[Al Kooper], record_label[MCA Records], is_from_album[True])",Mangala is an average board game with a simple complexity rating and an abstract strategy game genre. It's a great game for beginners.
"inform(name[Stairway to Heaven], genres[progressive rock], rating[excellent], instance_of[musical work/composition], is_from_album[True], from_album[Led Zeppelin IV], performer[Led Zeppelin], publication_year[1971])"," Have you ever played Carcassonne, the board game?"
"inform(name[Wild], genres[synth-pop], rating[excellent], instance_of[song], producer[Alex Hope], record_label[Universal Music Australia], publication_year[2015], from_album[Blue Neighbourhood])",Betrayal at House on the Hill is a cooperative board game published by Hasbro for up to 6 players.
"inform(name[Evolution], genres[nu metal], from_album[Untitled Korn album], instance_of[single], performer[Korn], publication_year[2007], record_label[Virgin Records], rating[excellent])"," Yomi: Fighting Card Game, also known as Yomi, is a card game that can be played with two players in a minimum of 30 minutes. It has an average rating."
"inform(name[Seven Nation Army], genres[garage rock], from_album[Elephant], producer[Jack White], is_from_album[True], record_label[XL Recordings], instance_of[single], rating[excellent])"," Have you ever played a board game for up to 5 players, like Axis and Allies?"
"inform(name[Matador], genres[candombe], publication_year[1994], record_label[Sony Music], rating[excellent], is_from_album[True], performer[Los Fabulosos Cadillacs], instance_of[musical work/composition])",Are you talking about the 1992 fantasy board game Battle Masters?
"inform(name[Black Barbies], genres[hip hop music], is_from_album[False], producer[Mike WiLL Made-It], rating[excellent], performer[Nicki Minaj], instance_of[single], record_label[Interscope Records])",Are you talking about the board game Star Realms from White Wizard Games?
"inform(name[Waka Waka], genres[pop music], from_album[Listen Up! The Official 2010 FIFA World Cup Album], publication_year[2010], record_label[Epic Records], rating[excellent], producer[John Hill], instance_of[single])"," I think Sherlock Holmes Consulting Detective is an excellent board game. With a publication year of 1981, it's a timeless classic."
"inform(name[So Good], genres[pop rap], from_album[Strange Clouds], instance_of[single], is_from_album[True], rating[excellent], producer[Ryan Tedder], publication_year[2012])",You found Enchanted Forest to be just okay. Do you think all fantasy board games from Michel Matschoss are mediocre?
"inform(name[Mad Love], genres[electropop], from_album[Mabel singles discography], rating[excellent], is_from_album[True], publication_year[2019], performer[Mabel], record_label[Polydor Records])","
Are you talking about the roll-and-move board game Monopoly?"
"inform(name[Poison], genres[dance-pop], is_from_album[True], instance_of[single], record_label[Interscope Records], rating[excellent], from_album[Killer Love], producer[RedOne])",Descent Journeys in the Dark is an advanced fantasy board game with a maximum playing time of 240 minutes.
"inform(name[All or Nothing], genres[pop music], is_from_album[True], producer[Frank Farian], instance_of[single], rating[good], record_label[Arista Records], from_album[Girl You Know It's True])",Battle Masters is an average board game in my opinion. The minimum playing time of 60 minutes and the publication year of 1992 make it a bit outdated for me.
"inform(name[Stargazing], genres[tropical house], from_album[Stargazing], record_label[Ultra Music], performer[Kygo, Justin Jesso], publication_year[2017], instance_of[single], is_from_album[True])"," Mangala is a simple abstract strategy board game based on mancala, with an average rating. It requires at least two players."
"inform(name[Que Calor], genres[Latin music], publication_year[2019], from_album[Music Is the Weapon], rating[excellent], performer[Major Lazer, El Alfa], instance_of[musical work/composition], producer[Diplo])",War of 1812 is a complex wargame with an average rating. It requires a minimum of two players.
"inform(name[Macarena], genres[Eurodance], instance_of[musical work/composition], rating[excellent], publication_year[1993], record_label[Inc.], is_from_album[True], performer[Los del R铆o])"," Have you heard of Star Realms, the board game from White Wizard Games?"
"inform(name[Mr. Brightside], genres[indie rock], performer[The Killers], instance_of[single], record_label[Island Records], publication_year[2003], producer[The Killers], is_from_album[True])"," Axis and Allies is an average board game. The developer, Larry Harris, is experienced and the game itself is quite well designed."
"inform(name[The Way I Are], genres[pop music], producer[Joel Little], rating[excellent], is_from_album[True], from_album[All Your Fault: Pt. 2], record_label[Warner Bros. Records], publication_year[2017])"," Punaisten ja valkoisten taistelu Suomessa 1918 is a simple board game, but I don't find it very enjoyable. The poor rating is accurate."
"inform(name[Old Town Road], genres[country rap], from_album[7], publication_year[2018], is_from_album[True], producer[Atticus Ross], instance_of[single], performer[Lil Nas X])",Are you talking about the board game Thurn and Taxis from Germany?
"inform(name[Hold My Hand], genres[arena rock], is_from_album[False], instance_of[single], rating[good], record_label[Interscope Records], publication_year[2022], performer[Lady Gaga])",You said Cosmic Encounter was mediocre. Do you think all Fantasy Flight Games science fiction board games are just okay?
"inform(name[I], genres[hip hop music], from_album[To Pimp a Butterfly], publication_year[2014], record_label[Aftermath Entertainment], rating[excellent], is_from_album[True], producer[Rahki])"," Have you ever played any of Klaus Teuber's board games for up to six players, like Barbarossa?"
"inform(name[Get Up!], genres[dubstep], from_album[The Path of Totality], is_from_album[True], rating[excellent], record_label[Roadrunner Records], publication_year[2011], performer[Skrillex, Korn])",HeroQuest is a fantasy board game published by Games Workshop with a minimum playing time of 90 minutes and a maximum of 5 players.
"inform(name[In My Bed], genres[soul music], producer[Salaam Remi], is_from_album[True], instance_of[single], record_label[Island Records], from_album[Frank], rating[excellent])",Stratego is an average board wargame. The instance of board game and genre of board wargame make it a great choice for strategy-lovers.
"inform(name[Dog Eat Dog], genres[new wave], record_label[Sony Music], performer[Adam and the Ants], rating[good], publication_year[1980], is_from_album[True], from_album[Kings of the Wild Frontier])"," Battle Masters is an average board game, but as a fantasy board game, it's great. The average rating is fair, as it's a really enjoyable game."
"inform(name[Stairway to Heaven], genres[progressive rock], is_from_album[True], performer[Led Zeppelin], from_album[Led Zeppelin IV], instance_of[musical work/composition], record_label[Atlantic Records], rating[excellent])",I think Descent Journeys in the Dark is a good board game. Its 2005 publication year and fantasy genre make it an exciting adventure.
"inform(name[Blurred Lines], genres[contemporary R&B], from_album[Blurred Lines], instance_of[single], performer[Pharrell Williams, Robin Thicke], producer[Pharrell Williams], is_from_album[True], record_label[Universal Music Group])"," Have you ever played a roll-and-move game for six players, like Afrikan tähti?"
"inform(name[Old Town Road], genres[country rap], is_from_album[True], producer[Atticus Ross], from_album[7], performer[Lil Nas X], record_label[Columbia Records], publication_year[2018])",Is there a straightforward board game you can play with at least one player?
"inform(name[Bitter Sweet Symphony], genres[alternative rock], performer[The Verve], from_album[Urban Hymns], is_from_album[True], publication_year[1997], producer[Youth], record_label[Hut Records])"," Cosmic Encounter is a complex science fiction board game from 1977 with a minimum playing time of 90 minutes and a minimum of 3 players, up to 8."
"inform(name[Marilyn Monroe], genres[funk], rating[excellent], performer[Pharrell Williams], is_from_album[True], producer[Pharrell Williams], publication_year[2014], instance_of[single])",Are there any educational historical board games in the board game domain?
"inform(name[Style], genres[funk], rating[excellent], producer[Ali Payami], publication_year[2015], record_label[Republic Records], instance_of[song], performer[Taylor Swift])"," Have you played Carcassonne, the board game developed by Klaus-Jürgen Wrede?"
"inform(name[All or Nothing], genres[pop music], instance_of[single], record_label[Arista Records], publication_year[1990], from_album[Girl You Know It's True], is_from_album[True], producer[Frank Farian])",What do you think makes fantasy board games an average game?
"inform(name[Break My Soul], genres[diva house], is_from_album[True], from_album[Renaissance], record_label[Columbia Records], instance_of[single], rating[excellent], producer[Beyonc茅])",Spirit Island is an excellent board game and I recommend it for experienced gamers. Its advanced complexity and 2017 publication year make it a great choice.
"inform(name[Matador], genres[candombe], record_label[Sony Music], is_from_album[True], rating[excellent], performer[Los Fabulosos Cadillacs], publication_year[1994], from_album[Vasos vac铆os])",Do you know of a strategic board wargame in the board game domain?
"inform(name[Money for Nothing], genres[rock music], producer[Mark Knopfler], instance_of[single], from_album[Brothers in Arms], record_label[Vertigo], rating[excellent], is_from_album[True])"," Punaisten ja valkoisten taistelu Suomessa 1918 is a poor board game, but I find it interesting due to its wargame genre and its publication year of 1918."
"inform(name[Somebody That I Used to Know], genres[art pop], rating[excellent], record_label[Universal Music Group], is_from_album[True], publication_year[2011], from_album[Making Mirrors], instance_of[single])"," Scotland Yard, also known as Fanton, is a 1983 deduction game board game for up to 6 players. It has a moderate complexity rating and an average rating."
"inform(name[Paint It Black], genres[rock music], publication_year[1966], producer[Andrew Loog Oldham], rating[excellent], performer[The Rolling Stones], instance_of[single], is_from_album[True])",Are you talking about the board game Carcassonne from developer Klaus-Jürgen Wrede?
"inform(name[Afterlife], genres[indie rock], rating[good], publication_year[2013], instance_of[single], producer[James Murphy], is_from_album[True], from_album[Reflektor])",Betrayal at House on the Hill is a complex cooperative board game developed by Bruce Glassco and published by Hasbro in 2004. It has an average rating.
"inform(name[I], genres[hip hop music], from_album[To Pimp a Butterfly], performer[Kendrick Lamar], producer[Rahki], record_label[Aftermath Entertainment], publication_year[2014], instance_of[single])"," Have you ever played a fantasy board game published by Fantasy Flight Games, like Descent Journeys in the Dark?"
"inform(name[Old Town Road], genres[Southern hip hop], record_label[Columbia Records], instance_of[single], publication_year[2018], rating[excellent], is_from_album[True], producer[Trent Reznor])",I think Carcassonne is a good board game. The complexity rating of moderate and the minimum number of players of 2 make it a great choice for casual gamers.
"inform(name[Wanna Get to Know You], genres[hip hop music], record_label[G-Unit Records], instance_of[audio track], rating[good], from_album[Beg for Mercy], publication_year[2004], is_from_album[True])",War of 1812 is a complex wargame board game typically taking 2 players.
"inform(name[Get Up!], genres[nu metal], rating[excellent], is_from_album[True], record_label[Roadrunner Records], instance_of[single], from_album[The Path of Totality], publication_year[2011])",Star Realms is a science fiction board game developed by Darwin Kastle in 2014 that has an excellent rating. It can be played with up to 6 players in a minimum of 20 minutes.
"inform(name[Somebody That I Used to Know], genres[indie pop], instance_of[single], producer[Gotye], publication_year[2011], record_label[Universal Music Group], is_from_album[True], from_album[Making Mirrors])inform(name[Viva la Vida], genres[baroque pop], publication_year[2008], performer[Coldplay], instance_of[single], is_from_album[True], record_label[Parlophone], rating[excellent])",Spirit Island is an excellent board game in my opinion. The minimum playing time of 90 minutes and maximum number of players of 4 make it great for a night of gaming.
"inform(name[Careless Whisper], genres[pop music], publication_year[1984], record_label[Columbia Records], performer[George Michael], producer[George Michael], rating[excellent], from_album[Make It Big])",Lord of the Rings is a 2000 fantasy board game based on The Lord of the Rings. It can be played with up to 5 players in a minimum of 20 minutes.
"inform(name[Stereotypes], genres[Britpop], performer[Blur], record_label[Food Records], from_album[The Great Escape], producer[Stephen Street], instance_of[single], is_from_album[True])"," Do you ever play board games for two players published by GMT Games, like Twilight Struggle?"
"inform(name[Cold Heart], genres[disco], publication_year[2021], rating[good], is_from_album[False], record_label[Virgin EMI Records], instance_of[single], producer[Pnau])",Yomi is a complex card game for 2 players that can be played in a minimum of 30 minutes.
"inform(name[Somebody That I Used to Know], genres[art pop], from_album[Making Mirrors], rating[excellent], producer[Gotye], record_label[Eleven: A Music Company], publication_year[2011], performer[Gotye, Kimbra])",You said you like Thurn and Taxis. Do you usually have a good opinion of historical board games by Karen Seyfarth?
"inform(name[Stairway to Heaven], genres[hard rock], from_album[Led Zeppelin IV], rating[excellent], instance_of[musical work/composition], record_label[Atlantic Records], publication_year[1971], performer[Led Zeppelin])",You said you like Thurn and Taxis. Do you usually find Hans im Glück board games to be good?
"inform(name[Waka Waka], genres[pop music], performer[Freshlyground, Shakira], publication_year[2010], rating[excellent], is_from_album[True], record_label[Epic Records], instance_of[song])",Carcassonne is a great board game. The good rating is well deserved.
"inform(name[Black Barbies], genres[hip hop music], performer[Nicki Minaj], rating[excellent], instance_of[song], producer[Mike WiLL Made-It], publication_year[2016], is_from_album[False])",Do you know of an educational roll-and-move board game?
"inform(name[I Still...], genres[pop music], producer[Max Martin], rating[excellent], performer[Backstreet Boys], from_album[Never Gone], publication_year[2005], is_from_album[True])",What educational board game have you played?
"inform(name[Over It], genres[sentimental ballad], from_album[Katharine McPhee], rating[good], performer[Katharine McPhee], publication_year[2007], instance_of[single], is_from_album[True])"," Enchanted Forest is an average board game, but I appreciate the minimum number of players of 2 and the design by Michel Matschoss."
"recommend(name[Stairway to Heaven], record_label[Atlantic Records])"," Are you referring to Enchanted Forest (or Rayas Journey: An Enchanted Forest Game, Sagaland, The Wizard of Oz), published by Ravensburger?"
"recommend(name[Que Calor], is_from_album[True])","
Are you referring to the Lord of the Rings board game, based on The Lord of the Rings?"
"recommend(name[Stargazing], publication_year[2017])",Spirit Island is an advanced cooperative board game with a minimum of 1 player and a playing time of 90 to 120 minutes.
"recommend(name[Cold Heart], producer[Pnau])"," Have you ever heard of Punaisten ja valkoisten taistelu Suomessa 1918, the board game from Finland?"
"recommend(name[Mad Love], genres[electropop])",Enchanted Forest is a simple fantasy board game published by Ravensburger. It requires a minimum of two players and has a maximum playing time of 60 minutes.
"recommend(name[Feel Again], from_album[Native])"," Have you heard of the board game Yomi, which is also a card game?"
"recommend(name[Stereotypes], producer[Stephen Street])",What's the most frustrating cooperative board game in the board game domain?
"recommend(name[Money, Cash, Hoes], performer[DMX, Jay-Z])",You said Chicago was boring. Do you usually have a poor opinion of board games?
"recommend(name[Old Town Road], is_from_album[True])",What's the most stimulating historical board game you know of in the board game domain?
"recommend(name[Dog Eat Dog], publication_year[1980])",Do you know of a stimulating cooperative board game in the board game domain?
"recommend(name[Macarena], instance_of[musical work/composition])"," Have you played Lord of the Rings, the board game based on The Lord of the Rings?"
"recommend(name[Blinding Lights], instance_of[single])"," Have you ever played a board game, like Scotland Yard?"
"recommend(name[Mr. Brightside], is_from_album[True])",What's the most confusing strategy game in the board game domain?
"recommend(name[Dog Eat Dog], from_album[Kings of the Wild Frontier])",What's the most frustrating board game you can play with two players?
"recommend(name[As It Was], producer[Kid Harpoon])","
Are you referring to the United States of America board game Axis and Allies, also known as Axis and Allies?"
"recommend(name[Right Here, Right Now], is_from_album[True])"," Do you ever play deduction board games for up to 8 players, like Sherlock Holmes Consulting Detective?"
"recommend(name[Dragostea Din Tei], performer[O-Zone])",What's the most uninspiring deduction game in the board game domain?
"recommend(name[Waka Waka], performer[Freshlyground, Shakira])",Spirit Island is an advanced cooperative board game with a maximum playing time of 120 minutes.
"recommend(name[I], performer[Kendrick Lamar])","
Are you referring to the 1977 board game Cosmic Encounter?"
"recommend(name[Y.M.C.A.], producer[Jacques Morali])",You said Axis and Allies was just average. Is that usually your opinion of board games?
"recommend(name[Stargazing], from_album[Stargazing])",Star Realms is an excellent board game. The maximum number of players of 6 makes it great for a night of gaming.
"recommend(name[Somebody That I Used to Know], producer[Gotye])",Barbarossa is an average board game in my opinion. The minimum number of players of 3 makes it great for a smaller group.
"recommend(name[Careless Whisper], instance_of[musical work/composition])"," In my opinion, Mystery Motive for Murder is an average board game. The moderate complexity and the mystery fiction genre make it a great choice for a night of fun and mystery."
"recommend(name[Habibi], instance_of[single])",What is it about the abstract strategy board games that makes them an average game?
"recommend(name[Mr. Brightside], instance_of[single])",You loved Sherlock Holmes Consulting Detective. Do you think all deduction board games from Space Cowboys are excellent?
"recommend(name[Hold My Hand], genres[arena rock])"," Have you heard of Scotland Yard, the Ravensburger board game with the alternate name Fanton?"
"recommend(name[Take My Breath Away], from_album[Top Gun 鈥?Original Motion Picture Soundtrack])"," Are you referring to the 1981 United States of America board game, Axis and Allies?"
"recommend(name[Sweet Home Alabama], producer[Al Kooper])"," Crossings is an average board game, but its abstract strategy genre and maximum number of players of 2 give it an interesting twist."
"recommend(name[Blurred Lines], genres[contemporary R&B])",I think Enchanted Forest is an average board game. The 30-60 minute playing time is perfect for a quick game.
"recommend(name[Mr. Brightside], producer[The Killers])",Barbarossa is a fantasy board game developed by Klaus Teuber for up to 6 players with a moderate complexity rating.
"recommend(name[Apple Shampoo], record_label[MCA Records])"," Afrikan tähti is a roll-and-move board game from Finland, published in 1951, with a poor rating. It is for up to 6 players."
"recommend(name[Blinding Lights], publication_year[2019])",You enjoyed Carcassonne. Do you usually like German-style board games?
"recommend(name[I Was Gonna Cancel], genres[synth-pop])",What's the most entertaining historical board game in the board game domain?
"recommend(name[The Way I Are], from_album[All Your Fault: Pt. 2])",What's the most confusing board game for four players?
"recommend(name[Sweet Home Alabama], is_from_album[True])"," Have you ever played a wargame from Columbia Games, like War of 1812?"
"recommend(name[I Was Gonna Cancel], record_label[Parlophone])"," Are you talking about Mystery Motive for Murder, the mystery fiction board game published in 2015?"
"recommend(name[Poison], publication_year[2010])",Descent Journeys in the Dark is a 2005 advanced fantasy board game for 2 to 5 players.
"recommend(name[Cold Heart], is_from_album[False])"," Have you ever played a German-style board game, like Carcassonne?"
"recommend(name[Old Town Road], instance_of[single])",Sherlock Holmes Consulting Detective is an excellent deduction board game for up to 8 players.
"recommend(name[Break My Soul], instance_of[single])"," Have you ever played a board game in the fantasy genre for up to five players, such as Descent Journeys in the Dark?"
"recommend(name[Money for Nothing], genres[rock music])recommend(name[Littlest Things], producer[Mark Ronson])",You loved Sherlock Holmes Consulting Detective. Do you usually find board games to be excellent?
"recommend(name[Sweet Home Alabama], genres[rock music])","
Are you talking about the board game Spirit Island?"
"recommend(name[Blinding Lights], performer[The Weeknd])"," I love playing Twilight Struggle. Its excellent rating, instance of a board game, and minimum number of players of 2 make it an enjoyable experience."
"recommend(name[Every Breath You Take], record_label[A&M Records])"," War of 1812 is an average board game, but I think it's worth checking out due to its publisher, Columbia Games."
"recommend(name[Que Calor], genres[Latin music])",What entertaining board game can you play with up to 5 players?
"recommend(name[Black Barbies], is_from_album[False])",Are you referring to the board game Lord of the Rings from developer Reiner Knizia?
"recommend(name[Poison], is_from_album[True])"," Have you ever played a board wargame, like Axis and Allies?"
"recommend(name[Macarena], publication_year[1993])",Is there a confusing board game you can play with two players?
"recommend(name[Que Calor], producer[Diplo])",You said that Lord of the Rings was an average game. Do you usually think board games are just okay?
"recommend(name[Somebody That I Used to Know], instance_of[single])"," Cosmic Encounter is an average board game, but the minimum number of players of 3 and the science fiction genre make it unique and entertaining."
"recommend(name[Afterlife], producer[James Murphy])"," Do you ever play board wargames for two players, like Stratego?"
"recommend(name[Littlest Things], is_from_album[True])"," Have you heard of Axis and Allies, or its alternate name Axis and Allies? It's a board game."
"recommend(name[Wanna Get to Know You], is_from_album[True])",What's the most strategic strategy game in the board game domain?
"recommend(name[Get Up!], is_from_album[True])",What do you love about cooperative board games?
"recommend(name[Bitter Sweet Symphony], publication_year[1997])",What do you not like about roll-and-move board games?
"recommend(name[Black Barbies], publication_year[2016])",Punaisten ja valkoisten taistelu Suomessa 1918 is a 1918 simple wargame board game with a poor rating.
"recommend(name[Anti-Hero], from_album[Midnights])",You said Sherlock Holmes Consulting Detective was excellent. Do you love all deduction board games?
"recommend(name[Dog Eat Dog], is_from_album[True])",Twilight Struggle is a board wargame published by GMT Games for a minimum of 2 players.
"recommend(name[Get Up!], genres[nu metal])"," Are you referring to Monopoly, the roll-and-move board game from developer Elizabeth Magie?"
"recommend(name[Cold Heart], publication_year[2021])",Barbarossa is a moderate fantasy board game developed by Klaus Teuber for up to 6 players. It has an average rating and a minimum playing time of 60 minutes.
"recommend(name[Dog Eat Dog], record_label[Sony Music])",What's the most entertaining board game with a deductive reasoning game mechanic?
"recommend(name[Break My Soul], is_from_album[True])"," HeroQuest is a good board game, and I love the fantasy genre. With a minimum of 2 players, it's perfect for a quick game."
"recommend(name[We Are the World], instance_of[song])"," Have you ever played a board game for a maximum of 6 players, like Barbarossa?"
"recommend(name[So Good], publication_year[2012])",Risk is a board wargame for 2 to 6 players with a minimum playing time of 120 minutes and an average rating.
"recommend(name[Dragostea Din Tei], producer[Dan Balan])",You found Scotland Yard to be just okay. Do you think other cooperative gameplay board games from Ravensburger are mediocre?
"recommend(name[Every Breath You Take], producer[Stewart Copeland])",You didn't like Monopoly. Do you usually think Hasbro's board games are boring?
"recommend(name[I], from_album[To Pimp a Butterfly])",What's the most tedious wargame in the board game domain?
"recommend(name[Paint It Black], from_album[Aftermath])"," Are you talking about Barbarossa, the 1988 fantasy board game?"
"recommend(name[Break My Soul], genres[diva house])"," Have you played Mystery Motive for Murder, a board game published by Mayfair Games?"
"recommend(name[Style], from_album[1989])",Are you talking about the fantasy board game Lord of the Rings from developer Reiner Knizia?
